"key","context","en","de","es","fr","it","pt-br","ja","ko","zh-hans","zh-hant"
"cast.label.en","Short label | Cast credit language label (use very short abbreviation)","EN","","","","","","","","",""
"cast.label.jp","Short label | Cast credit language label (use very short abbreviation)","JP","","","","","","","","",""
"cast.section.additional","Heading | Cast page section","Additional Characters","","","","","","","","",""
"cast.section.customers","Heading | Cast page section","Customers","","","","","","","","",""
"cast.section.main","Heading | Cast page section","Main Characters","","","","","","","","",""
"cast.section.suppliers","Heading | Cast page section","Suppliers","","","","","","","","",""
"cast.section.supporting","Heading | Cast page section","Supporting Characters","","","","","","","","",""
"page.cast.title","Page title | Cast page","Cast","","","","","","","","",""
"page.cast.description","Meta description | Cast page","Meet the English and Japanese voice cast of {Sushi Ben}'s colorful Kotobuki Town characters.","","","","","","","","",""
"page.team.title","Page title | Team page","Meet the Team","Team kennenlernen","Conoce al equipo","Rencontrer l'équipe","Incontra il team","Conheça a equipe","チーム紹介","팀 소개","团队介绍","團隊介紹"
"page.team.description","Meta description | Team page","Meet the developers, artists, and creative team behind {Sushi Ben}.","","","","","","","","",""
"team.partner.bigbrane.body","Body text | Team page partner card","{Big Brane Studios, Inc.} is the creator, developer, and publisher of {Sushi Ben}.","","","","","","","","",""
"team.partner.smg.body","Body text | Team page partner card","{SMG Studio} is the executive producer of {Sushi Ben}. {SMG Studio} is dedicated to producing games with original and licenced IP for all platforms.","","","","","","","","",""
"team.role.2d_artist","Role label | Team page credit","2D Artist","","","","","","","","",""
"team.role.3d_animator","Role label | Team page credit","3D Animator","","","","","","","","",""
"team.role.3d_artist","Role label | Team page credit","3D Artist","","","","","","","","",""
"team.role.3d_artist_concept_artist","Role label | Team page credit","3D Artist / Concept Artist","","","","","","","","",""
"team.role.3d_artist_manga_panel_artist","Role label | Team page credit","3D Artist / Manga Panel Artist","","","","","","","","",""
"team.role.3d_character_artist","Role label | Team page credit","3D Character Artist","","","","","","","","",""
"team.role.additional_programming","Role label | Team page credit","Additional Programming","","","","","","","","",""
"team.role.character_designer","Role label | Team page credit","Character Designer","","","","","","","","",""
"team.role.character_rigger","Role label | Team page credit","Character Rigger","","","","","","","","",""
"team.role.community_manager","Role label | Team page credit","Community Manager","","","","","","","","",""
"team.role.composer_sound_designer","Role label | Team page credit","Composer / Sound Designer","","","","","","","","",""
"team.role.director","Role label | Team page credit","Director","","","","","","","","",""
"team.role.english_casting_director","Role label | Team page credit","English Casting Director","","","","","","","","",""
"team.role.english_translator","Role label | Team page credit","English Translator","","","","","","","","",""
"team.role.english_voice_direction","Role label | Team page credit","English Voice Direction","","","","","","","","",""
"team.role.executive_producers","Role label | Team page credit","Executive Producers","","","","","","","","",""
"team.role.gameplay_programmer","Role label | Team page credit","Gameplay Programmer","","","","","","","","",""
"team.role.gameplay_programmer_junior","Role label | Team page credit","Gameplay Programmer (Junior)","","","","","","","","",""
"team.role.lead_3d_animator","Role label | Team page credit","Lead 3D Animator","","","","","","","","",""
"team.role.lead_technical_artist","Role label | Team page credit","Lead Technical Artist","","","","","","","","",""
"team.role.location_scout","Role label | Team page credit","Location Scout","","","","","","","","",""
"team.role.marketing_producer","Role label | Team page credit","Marketing Producer","","","","","","","","",""
"team.role.portuguese_translator","Role label | Team page credit","Portuguese Translator","","","","","","","","",""
"team.role.production_assistant","Role label | Team page credit","Production Assistant","","","","","","","","",""
"team.role.social_media_manager","Role label | Team page credit","Social Media Manager","","","","","","","","",""
"team.role.technical_artist","Role label | Team page credit","Technical Artist","","","","","","","","",""
"team.role.technical_director","Role label | Team page credit","Technical Director","","","","","","","","",""
"team.role.video_storyboard_artist","Role label | Team page credit","Video Storyboard Artist","","","","","","","","",""
"team.role.writer_2d_artist","Role label | Team page credit","Writer / 2D Artist","","","","","","","","",""
"team.section.animation_rigging","Heading | Team page section","Animation and Rigging","","","","","","","","",""
"team.section.art_design","Heading | Team page section","Art and Design","","","","","","","","",""
"team.section.audio_marketing","Heading | Team page section","Audio and Marketing","","","","","","","","",""
"team.section.direction","Heading | Team page section","Leadership and Direction","","","","","","","","",""
"team.section.engineering_technical","Heading | Team page section","Engineering and Technical","","","","","","","","",""
"team.section.memory","Heading | Team page section","In Memory Of","","","","","","","","",""
"team.section.story_production","Heading | Team page section","Story and Production","","","","","","","","",""
"team.section.technology_partners","Heading | Team page section","Technology and Partners","","","","","","","","",""
